Accession,Accession.1,Accession.2,Accession.3
AG-0,EOT-1,LU-1,Se-0
ALC-0,EST-1,LUND,SE-8
ALGUTSTRUM,Fei-0,LZ-0,Sha
ALL-0,GD-1,MIR-0,SPR1-2
AN-1,GE-0,Mrk-0,SQ-1
ANG-0,GOT-7,MT-0,SQ-8
BA4-1,GR-1,MZ-0,STE-0
BA5-1,GY-0,Nd-1,STW-0
BAY-0,H55,NO-0,TR-0
Bla-1,HR-5,NOK-3,TS-1
Blh-1,IN-0,OR-1,Ts-5
BOR-1,IS-0,OST-0,TSU-1
BOR-4,Ita-0,Oy-0,ULL1-1
BRO-1-6,JEA,PA-1,ULL2-3
BU-0,KA-0,PNA-17,UOD-7
Bur-0,KAVLINGE-1,PRO-0,VAN-0
C24,KENT,PU2-7,VAR2-1
CA-0,KIN-0,RAK-2,VIMMERBY
CAN-0,KNO-18,REN-1,VINSLOV
CIBC-5,KOLA,RHS-2,WA-1
Col-0,KOLN,RMT-A02,WEI-0
Cvi-0,KZ-1,RMX-A180,Wil-1
DEM4,LCR-1,RRS-7,WIL-1-Dean-Lab
DUK,LER-1,RSCH-4,WS-0
EDEN1,LIA-0,RSN-1,WS-2
EDI-0,LOM-1-1,SAP-0,WT-5
Ei-2,LOV-1,Sav-0,NA
